,Content
18," 11. On the Right Track The remix of “3005” on the later-released Kauai EP, was the key to uncovering a secret track that Glover had hinted was out there on the Internet. The remix of “3005” was just an instrumental version of the song, but when mixed with a capella vocals that were hidden on Gambino’s beacusetheinter.net website, it uncovered the track entitled “3005 (Beach Picnic Version).” Yeah, we just love it when artists make us work for their art.  "
19, 10. I Knew You Were Trouble Glover’s first UK top 10 single was the song “Trouble” sung by Leona Lewis and featuring Childish Gambino.  
20," 9. Game Time In a collaboration that nobody knew they wanted, Childish Gambino worked with videogame maker Ubisoft to incorporate his song “Crawl” into Far Cry 4, a game that includes beautiful landscapes, wingsuits, and death by elephant stampede.  "
21," 8. A Sticky Situation In 2010, a fan suggested Glover for the role of Peter Parker in the then-upcoming The Amazing Spider-Man, encouraging his supporters to retweet the hashtag “#donald4spiderman.” The campaign quickly gained a large following, including the support of Spider-Man creator Stan Lee and Glover himself. But the campaign also had its share of detractors, with a number of fanboys expressing barely veiled racism behind arguments of “but… but… canon!” Ultimately, the role went to Andrew Garfield.  "
22," 7. Change is Gonna Come A year later, comic book writer Brian Michael Bendis announced an African-American version of Spider-Man, claiming that he had conceived of the character before Glover’s campaign had gone viral. He did credit Glover (along with President Barack Obama) with influencing the look of the character though, much in the same way Samuel L. Jackson influenced the look of Nick Fury.  "
23, 6. One Step Closer Glover later voiced this incarnation of Spider-Man on the Ultimate Spider-Man animated series… but fans still wanted more and the calls for a black Spider-Man remained.  
24," 5. A New Hope Glover was also cast in the 2017 film Spider-Man: Homecoming as a… well… as of April 2017, we don’t know yet. We hope that it’s Miles Morales, but we’re sure, whoever it is, Donald Glover will be better at playing it than you.  "
25," 4. To the Cloud! Glover is set to play a young Lando Calrissian in the 2018 untitled Han Solo film. Looks like, unlike Lando, Glover’s deal keeps getting better all the time.  "
26," 3. In the Jungle Glover will be the voice of Simba in the live-action remake of Disney’s The Lion King and, just like Simba, everything the light touches is his kingdom.  "
27," 2. Gloverboy Donald Glover recently revealed that his child is a boy. No other information about the child is available, which is exactly the way Donald Glover wants it. So stop asking.  "
28," 1. Beyond the Sea Community creator Dan Harmon asked Glover to return for the sixth season, but he declined, saying that it would be better for the character and the remaining story arcs if Troy Barnes remained at sea.  Sources: 1 2 3 4 "
